[2017-02-10 22:24:49] START
[2017-02-10 22:27:06] DELETE ImagesCuaTao/models/menu.py: -121
[2017-02-10 22:27:27] EDIT ImagesCuaTao/models/db.py: -28
[2017-02-10 22:32:39] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 01:21:03] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 02:54:57] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 02:55:06] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 02:56:28] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 09:55:01] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 09:56:48] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 10:01:27] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 21:19:47] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 21:33:23] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 21:33:56] EDIT ImagesCuaTao/controllers/default.py: 2
[2017-02-11 21:34:23] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:36:16] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:37:28] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:37:57] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:41:46] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:41:59] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:42:00] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:42:08] EDIT ImagesCuaTao/controllers/default.py: 0
[2017-02-11 21:47:40] EDIT ImagesCuaTao/views/default/index.html: -42
[2017-02-11 21:48:11] EDIT ImagesCuaTao/views/default/index.html: 0
[2017-02-11 22:21:07] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 22:21:22] EDIT ImagesCuaTao/models/db.py: 0
[2017-02-11 23:01:07] EDIT ImagesCuaTao/controllers/appadmin.py: 1
[2017-02-11 23:25:42] EDIT ImagesCuaTao/models/db.py: 0
