127.0.0.1, 2017-02-05 01:37:17, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/default/index, HTTP/1.1, 200, 2.229000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:37:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-05 01:38:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.077000
127.0.0.1, 2017-02-05 01:38:32, GET, /admin/default/site, HTTP/1.1, 303, 0.963000
127.0.0.1, 2017-02-05 01:38:32, GET, /admin/default/index, HTTP/1.1, 200, 0.561000
127.0.0.1, 2017-02-05 01:38:32, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.045000
127.0.0.1, 2017-02-05 01:38:32, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.075000
